INFO 2024-09-07 20:45:08,128 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-07 20:45:08,569 autoreload File /usr/lib/python3.12/reprlib.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/utils/autoreload.py first seen with mtime 1721970293.6970806
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1721970292.9142256
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/files/storage/__init__.py first seen with mtime 1721970293.6000986
DEBUG 2024-09-07 20:45:08,569 autoreload File /usr/lib/python3.12/pickle.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/views/generic/__init__.py first seen with mtime 1721970293.711078
DEBUG 2024-09-07 20:45:08,569 autoreload File /usr/lib/python3.12/asyncio/selector_events.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,570 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/cache/backends/base.py first seen with mtime 1721970293.5921001
DEBUG 2024-09-07 20:45:08,570 autoreload File /usr/lib/python3.12/token.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,570 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/sqlparse/utils.py first seen with mtime 1721970292.4013205
DEBUG 2024-09-07 20:45:08,570 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/checks/security/__init__.py first seen with mtime 1721970293.5960994
DEBUG 2024-09-07 20:45:08,570 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/forms/boundfield.py first seen with mtime 1721970293.6540885
DEBUG 2024-09-07 20:45:08,570 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/tablib/formats/__init__.py first seen with mtime 1723011393.3116794
DEBUG 2024-09-07 20:45:08,570 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/models/functions/window.py first seen with mtime 1721970293.6500893
DEBUG 2024-09-07 20:45:08,570 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/geodata/data4.py first seen with mtime 1722277846.079267
DEBUG 2024-09-07 20:45:08,570 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/checks/security/base.py first seen with mtime 1721970293.5960994
DEBUG 2024-09-07 20:45:08,570 autoreload File /usr/lib/python3.12/email/_policybase.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,570 autoreload File /usr/lib/python3.12/asyncio/protocols.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,570 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/geodata/data16.py first seen with mtime 1722277846.0172746
DEBUG 2024-09-07 20:45:08,570 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/idna/package_data.py first seen with mtime 1723270972.4405181
DEBUG 2024-09-07 20:45:08,570 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/checks/caches.py first seen with mtime 1721970293.5940998
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/geodata/data28.py first seen with mtime 1722277846.0732677
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/models/sql/query.py first seen with mtime 1721970293.6520889
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1721970293.0721962
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/templatetags/i18n.py first seen with mtime 1721970293.6900818
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/urllib3/util/request.py first seen with mtime 1723270972.307525
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/cdr/cdr3cx/admin.py first seen with mtime 1725726021.2956424
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/requests/certs.py first seen with mtime 1723270972.6955056
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/backends/base/schema.py first seen with mtime 1721970293.6200948
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/utils/hashable.py first seen with mtime 1721970293.7010798
DEBUG 2024-09-07 20:45:08,571 autoreload File /usr/lib/python3.12/urllib/response.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/data/alt_format_350.py first seen with mtime 1722277845.9002886
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/models/functions/comparison.py first seen with mtime 1721970293.6490896
DEBUG 2024-09-07 20:45:08,571 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/templatetags/cache.py first seen with mtime 1721970293.6890821
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/import_export/exceptions.py first seen with mtime 1723011393.4566724
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/charset_normalizer/__init__.py first seen with mtime 1723270972.60651
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/views/i18n.py first seen with mtime 1721970293.7080786
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/__init__.py first seen with mtime 1721970293.6160955
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/dispatch/__init__.py first seen with mtime 1721970293.6530888
DEBUG 2024-09-07 20:45:08,572 autoreload File /usr/lib/python3.12/email/mime/base.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/utils/decorators.py first seen with mtime 1721970293.6990802
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/management/commands/__init__.py first seen with mtime 1721970293.6070971
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/data/alt_format_66.py first seen with mtime 1722277845.9082875
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/requests/sessions.py first seen with mtime 1723270972.6985054
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/urllib3/util/response.py first seen with mtime 1723270972.307525
DEBUG 2024-09-07 20:45:08,572 autoreload File /usr/lib/python3.12/linecache.py first seen with mtime 1722447828.0
